i,n
1,2
1,3
1,8
1,9
1,10
1,4
1,7
1,6
1,5
1,11
2,2
2,3
2,8
2,9
2,7
2,6
2,11
3,2
3,3
3,8
3,7
3,6
3,11
4,2
4,3
4,8
4,9
4,7
4,5
4,11
5,2
5,3
5,8
5,9
5,7
5,6
5,11
6,2
6,3
6,8
6,9
6,10
6,4
6,7
6,6
6,11
7,2
7,3
7,11
8,2
8,3
8,8
8,9
8,10
8,4
8,7
8,6
8,11
9,2
9,3
9,8
9,9
9,10
9,4
9,7
9,6
9,11
10,2
10,3
10,8
10,9
10,7
10,6
10,11
10,12
10,1
11,3
11,8
11,7
11,6
12,2
12,3
12,8
12,10
12,11
13,2
13,3
13,8
13,9
13,10
13,4
13,7
13,6
13,5
13,11
14,2
14,3
14,8
14,9
14,4
14,7
14,6
14,11
14,1
15,2
15,11
16,2
16,3
16,9
16,4
16,7
16,11
17,2
17,3
17,8
17,9
17,10
17,4
17,7
17,6
17,11
18,2
18,3
18,9
18,4
18,11
19,2
19,3
19,7
19,6
19,11
19,1
20,2
20,3
20,8
20,9
20,10
20,4
20,7
20,6
20,11
21,2
21,3
21,8
21,9
21,4
21,7
21,11
22,2
22,3
22,8
22,9
22,10
22,4
22,7
22,6
22,5
22,11
22,1
23,2
23,3
23,8
23,9
23,4
23,7
23,6
23,11
24,2
24,3
24,10
24,4
24,7
24,11
25,2
25,3
25,9
25,11
26,2
26,3
26,8
26,9
26,4
26,7
26,6
26,11
27,2
27,3
27,8
27,9
27,4
27,7
27,6
27,11
28,2
28,3
28,9
28,10
28,4
28,7
28,6
28,11
29,3
29,9
29,5
29,11
30,2
30,3
30,8
30,9
30,10
30,4
30,7
30,6
30,11
30,1
31,2
31,3
31,8
31,9
31,4
31,7
31,6
31,11
32,2
32,3
32,10
32,7
32,6
32,11
33,2
33,3
33,8
33,9
33,4
33,7
33,6
33,11
33,1
34,2
34,3
34,9
34,11
35,2
35,3
35,8
35,4
35,7
35,5
35,11
36,2
36,3
36,8
36,9
36,7
36,6
36,11
36,1
37,2
37,3
37,4
37,7
37,6
38,2
38,3
38,11
39,2
39,3
39,8
39,9
39,4
39,7
39,6
39,11
40,2
40,3
40,8
40,4
40,7
40,11
41,2
41,3
41,8
41,4
41,5
41,11
42,2
42,3
42,8
42,9
42,10
42,11
43,2
43,3
43,8
43,9
43,11
44,2
44,3
44,8
44,10
44,7
44,11
